BLDG|NAME|ADDRESS|CITY|STATE|ROOMS
1173|EHandS Fumigation Chamber|2013 MOWRY RD|GAINESVILLE|FL|1
1174|EHandSfumigationstorage|UNK|GAINESVILLE|FL|1
1175|UF Hotel and Conference Center|UNK|GAINESVILLE|FL|1
1177|EHandS Pest Control Storage|UNK|GAINESVILLE|FL|1
1178|Orthopaedics and Sports Medicine|3450 HULL RD|GAINESVILLE|FL|480
1179|Osmi Support Building|UNK|GAINESVILLE|FL|2
1180|Lakeside Residential Complex|2955 RADIO RD|GAINESVILLE|FL|6
1181|Lakeside Residential Complex|2853 RADIO RD|GAINESVILLE|FL|2
1182|Lakeside Residential Complex|2907 RADIO RD|GAINESVILLE|FL|2
1183|Lakeside Residential Complex|3009 RADIO RD|GAINESVILLE|FL|3
1184|Lakeside Residential Complex|3041 RADIO RD|GAINESVILLE|FL|2
1185|Lakeside Residential Complex|2943 RADIO RD|GAINESVILLE|FL|2
1186|Lakeside Residential Complex|3025 RADIO RD|GAINESVILLE|FL|1
1194|Attendant Booth at SOC Gated Lot|2128 STADIUM RD|GAINESVILLE|FL|1
1195|Smokers Shelter (Infirmary)|UNK|GAINESVILLE|FL|1
1196|Animal Research Chem Storage|UNK|GAINESVILLE|FL|1
1198|Speciality Shop|2203 SURGE AREA DR|GAINESVILLE|FL|1
1199|Housing Supply Warehouse|2269 SURGE AREA DR|GAINESVILLE|FL|9
1200|Plant Science Facility|2475 MEMORIAL RD|GAINESVILLE|FL|10
1201|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|3
1202|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|3
1203|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|4
1204|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|3
1205|Laboratory Building|2475 MEMORIAL RD|GAINESVILLE|FL|4
1206|Greenhouse, Fruit Crops|2475 MEMORIAL RD|GAINESVILLE|FL|5
1207|Greenhouse, Fruit Crops|2475 MEMORIAL RD|GAINESVILLE|FL|1
1208|Greenhouse, Vegetable Crops|2475 MEMORIAL RD|GAINESVILLE|FL|1
1209|Headhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|9
1210|Carport|2475 MEMORIAL RD|GAINESVILLE|FL|1
1211|Pot Washing Building|2475 MEMORIAL RD|GAINESVILLE|FL|1
1212|Pesticide Building|2475 MEMORIAL RD|GAINESVILLE|FL|3
1213|Soils Building|2475 MEMORIAL RD|GAINESVILLE|FL|4
1214|Laboratory Building|2415 MEMORIAL RD|GAINESVILLE|FL|23
1215|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1216|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1217|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1218|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1219|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1220|Greenhouse, Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|2
1221|Residence / Laboratory|2401 MEMORIAL RD|GAINESVILLE|FL|16
1222|Bio-Containment Facility|1397 ORCHARD DR|GAINESVILLE|FL|27
1225|Polyhouse #5|2475 MEMORIAL RD|GAINESVILLE|FL|1
1226|Shadehouse|2475 MEMORIAL RD|GAINESVILLE|FL|1
1227|Polyhouse #10|2475 MEMORIAL RD|GAINESVILLE|FL|1
1228|Polyhouse #9-Ornamental Horticulture|2475 MEMORIAL RD|GAINESVILLE|FL|1
1231|Environmental Soil Bin|1388 ORCHARD DR|GAINESVILLE|FL|3
1241|Pump Shed|2977 SW 23RD TER|GAINESVILLE|FL|1
1242|Pesticide Storage|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1243|Metal Building|2350 MOWRY RD|GAINESVILLE|FL|1
1247|Equipment Storage|1786 IFAS RESEARCH DR|GAINESVILLE|FL|12
1248|Soils Storage|2390 MOWRY RD|GAINESVILLE|FL|1
1249|Greenhouse-Fruit Drying|1786 IFAS RESEARCH DR|GAINESVILLE|FL|1
1250|Fruit Packing|1786 IFAS RESEARCH DR|GAINESVILLE|FL|5
1257|Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1258|Pesticide Storage|1786 IFAS RESEARCH DR|GAINESVILLE|FL|1
1264|Fruit Crops Pole Barn|1786 IFAS RESEARCH DR|GAINESVILLE|FL|1
1265|Environmental Stress Lab|1786 IFAS RESEARCH DR|GAINESVILLE|FL|11
1266|Greenhouse, Fruit Crops|1786 IFAS RESEARCH DR|GAINESVILLE|FL|1
1268|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1269|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1270|Entomology Greenhouse|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1271|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1272|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1273|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1274|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1275|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
1276|Greenhouse, Entomology|2027 NATURAL AREA DR|GAINESVILLE|FL|1
